DESCRIPTION,CODE1,CODE1TYPE,SETTING,DRUG_UNIT_OF_MEASUREMENT,DRUG_TYPE_OF_MEASUREMENT,STANDARD_CHARGEGROSS,STANDARD_CHARGEDISCOUNTED_CASH
PREGABALIN 50 MG CAPSULE [42163],7628256990 [320043],NDC,BOTH,1,EA ,18.38,15.44
PREGABALIN 75 MG CAPSULE [42164],0071101441 [136190],NDC,BOTH,1,EA ,77.44,65.05
PREGABALIN 75 MG CAPSULE [42164],0071101468 [123347],NDC,BOTH,1,EA ,70.35,59.09
PREGABALIN 75 MG CAPSULE [42164],0904700061 [321229],NDC,BOTH,1,EA ,6.04,5.07
PREGABALIN 75 MG CAPSULE [42164],5022835290 [318333],NDC,BOTH,1,EA ,54.86,46.08
PREGABALIN 75 MG CAPSULE [42164],6068749501 [320657],NDC,BOTH,1,EA ,10.76,9.04
PREGABALIN 75 MG CAPSULE [42164],6068749511 [320658],NDC,BOTH,1,EA ,10.76,9.04
PREGABALIN 75 MG CAPSULE [42164],7220501390 [319937],NDC,BOTH,1,EA ,54.86,46.08
PREGABALIN 75 MG CAPSULE [42164],7628257090 [320044],NDC,BOTH,1,EA ,18.38,15.44
PRENATAL VITAMIN WITH CALCIUM NO.72IRON 27 MGFOLIC ACID 1 MG TABLET [132451],4494610451 [241336],NDC,BOTH,1,EA ,4.73,3.97
PRENATAL VITAMIN WRAPPER [171574],0536406301 [20982],NDC,BOTH,1,EA ,1.58,1.32
PRENATAL VITAMIN WRAPPER [171574],0904531360 [26519],NDC,BOTH,1,EA ,1.58,1.32
PRENATAL VITAMIN WRAPPER [171574],4229168601 [228867],NDC,BOTH,1,EA ,2.89,2.43
PRENATAL VITAMIN WRAPPER [171574],5199115501 [58737],NDC,BOTH,1,EA ,2.89,2.43
PRENATAL VITS NO.126FERROUS FUM 28 MG IRONFOLIC ACID 800 MCG TABLET [168783],0536406301 [20982],NDC,BOTH,1,EA ,1.58,1.32
PRIMAQUINE 26.3 MG TABLET [6541],0024159601 [2742],NDC,BOTH,1,EA ,19.43,16.32
PRIMAQUINE 26.3 MG TABLET [6541],6042903514 [274317],NDC,BOTH,1,EA ,35.7,29.99
PRIMAQUINE 26.3 MG TABLET [6541],7638510201 [267568],NDC,BOTH,1,EA ,16.54,13.89
PRIMIDONE 250 MG TABLET [6544],0591532101 [22121],NDC,BOTH,1,EA ,6.56,5.51
PRIMIDONE 250 MG TABLET [6544],5026868715 [198912],NDC,BOTH,1,EA ,5.25,4.41
PRIMIDONE 250 MG TABLET [6544],5374654501 [297582],NDC,BOTH,1,EA ,6.56,5.51
PRIMIDONE 250 MG TABLET [6544],6516254510 [175342],NDC,BOTH,1,EA ,6.56,5.51
PRIMIDONE 250 MG TABLET [6544],6649069110 [93187],NDC,BOTH,1,EA ,261.19,219.4
PRIMIDONE 50 MG TABLET [11129],0527130101 [20749],NDC,BOTH,1,EA ,3.41,2.87
PRIMIDONE 50 MG TABLET [11129],0527130105 [20750],NDC,BOTH,1,EA ,3.15,2.65
PRIMIDONE 50 MG TABLET [11129],5026868611 [273104],NDC,BOTH,1,EA ,6.3,5.29
PRIMIDONE 50 MG TABLET [11129],5026868615 [198911],NDC,BOTH,1,EA ,6.3,5.29
PRIMIDONE 50 MG TABLET [11129],5374654401 [297580],NDC,BOTH,1,EA ,3.41,2.87
PRIMIDONE 50 MG TABLET [11129],6516254410 [175340],NDC,BOTH,1,EA ,3.41,2.87
PRIMIDONE 50 MG TABLET [11129],6808420201 [152078],NDC,BOTH,1,EA ,5.25,4.41
PROBENECID 500 MG TABLET [6561],0527136710 [133596],NDC,BOTH,1,EA ,28.35,23.81
PROBENECID 500 MG TABLET [6561],0591534701 [22128],NDC,BOTH,1,EA ,11.29,9.48
PROCAINAMIDE 100 MG/ML INJECTION SOLUTION [6562],0409190201 [129499],NDC,BOTH,10,ML,415.28,348.83
PROCAINAMIDE 100 MG/ML INJECTION SOLUTION [6562],0409190211 [330853],NDC,BOTH,10,ML,415.28,348.83
PROCAINAMIDE 100 MG/ML INJECTION SOLUTION [6562],1478990107 [310830],NDC,BOTH,10,ML,1237.43,1039.44
PROCAINAMIDE 100 MG/ML INJECTION SOLUTION [6562],1478990110 [310831],NDC,BOTH,10,ML,1237.43,1039.44
PROCHLORPERAZINE 25 MG RECTAL SUPPOSITORY [11138],0574722612 [21734],NDC,BOTH,1,EA ,81.9,68.8
PROCHLORPERAZINE 25 MG RECTAL SUPPOSITORY [11138],0713013506 [270022],NDC,BOTH,1,EA ,79.8,67.03
PROCHLORPERAZINE 25 MG RECTAL SUPPOSITORY [11138],0713013512 [24500],NDC,BOTH,1,EA ,79.8,67.03
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],0641613501 [295520],NDC,BOTH,2,ML,56.7,47.63
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],0641613525 [295521],NDC,BOTH,2,ML,56.7,47.63
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],2315529431 [254419],NDC,BOTH,2,ML,70.35,59.09
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],2315529441 [289646],NDC,BOTH,2,ML,70.35,59.09
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],2315529442 [247548],NDC,BOTH,2,ML,70.35,59.09
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],2315552331 [277881],NDC,BOTH,2,ML,70.35,59.09
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],2315552341 [277882],NDC,BOTH,2,ML,70.35,59.09
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],4306609001 [341667],NDC,BOTH,2,ML,41.48,34.84
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],4306609001 [341667],NDC,BOTH,5,ME,41.48,34.84
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],4306609025 [341668],NDC,BOTH,2,ML,41.48,34.84
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],5539007710 [108715],NDC,BOTH,2,ML,29.93,25.14
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],6745764000 [315783],NDC,BOTH,2,ML,144.38,121.28
PROCHLORPERAZINE EDISYLATE 10 MG/2 ML (5 MG/ML) INJECTION SOLUTION [6580],6745764002 [315784],NDC,BOTH,2,ML,144.38,121.28
PROCHLORPERAZINE MALEATE 10 MG TABLET [6582],0378511001 [18066],NDC,BOTH,1,EA ,6.04,5.07
PROCHLORPERAZINE MALEATE 10 MG TABLET [6582],5107954201 [56010],NDC,BOTH,1,EA ,6.56,5.51
PROCHLORPERAZINE MALEATE 10 MG TABLET [6582],5107954220 [56013],NDC,BOTH,1,EA ,6.56,5.51
PROCHLORPERAZINE MALEATE 10 MG TABLET [6582],5974611506 [83010],NDC,BOTH,1,EA ,6.04,5.07
PROCHLORPERAZINE MALEATE 5 MG TABLET [6583],5974611306 [83008],NDC,BOTH,1,EA ,3.94,3.31
PROGESTERONE 50 MG/ML INTRAMUSCULAR OIL [6597],0143972501 [204173],NDC,BOTH,10,ML,265.39,222.93
PROGESTERONE MICRONIZED 100 MG VAGINAL INSERT [82391],5556665002 [150019],NDC,BOTH,1,EA ,22.84,19.18
PROGESTERONE MICRONIZED 100 MG VAGINAL INSERT [82391],5556665003 [150020],NDC,BOTH,1,EA ,22.84,19.18
PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY [11143],0591298539 [276865],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY [11143],0713053606 [287582],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY [11143],0713053612 [24554],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY [11143],5167252961 [273544],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 12.5 MG RECTAL SUPPOSITORY [11143],5167252965 [291693],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 12.5 MG TABLET [6621],1070200201 [146340],NDC,BOTH,1,EA ,3.41,2.87
PROMETHAZINE 12.5 MG TABLET [6621],5766410788 [183486],NDC,BOTH,1,EA ,3.41,2.87
PROMETHAZINE 12.5 MG TABLET [6621],6516274510 [208895],NDC,BOTH,1,EA ,3.41,2.87
PROMETHAZINE 12.5 MG TABLET [6621],6808415401 [144652],NDC,BOTH,1,EA ,3.68,3.09
PROMETHAZINE 12.5 MG TABLET [6621],6808415411 [144653],NDC,BOTH,1,EA ,3.68,3.09
PROMETHAZINE 12.5 MG TABLET [6621],6838204001 [129278],NDC,BOTH,1,EA ,3.41,2.87
PROMETHAZINE 25 MG RECTAL SUPPOSITORY [11144],0591299239 [276866],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 25 MG RECTAL SUPPOSITORY [11144],0713052606 [287581],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 25 MG RECTAL SUPPOSITORY [11144],0713052612 [24550],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 25 MG RECTAL SUPPOSITORY [11144],4580275900 [242592],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 25 MG RECTAL SUPPOSITORY [11144],4580275930 [48058],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 25 MG RECTAL SUPPOSITORY [11144],5167252971 [273545],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 25 MG RECTAL SUPPOSITORY [11144],5167252974 [321992],NDC,BOTH,1,EA ,115.24,96.8
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],0641092821 [154099],NDC,BOTH,1,ML,14.44,12.13
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],0641092825 [23602],NDC,BOTH,1,ML,14.44,12.13
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],0641608401 [215443],NDC,BOTH,1,ML,26.51,22.27
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],0641608425 [215444],NDC,BOTH,1,ML,26.51,22.27
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],0641620801 [300627],NDC,BOTH,1,ML,13.65,11.47
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],0641620825 [300628],NDC,BOTH,1,ML,13.65,11.47
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],3982255252 [287900],NDC,BOTH,1,ML,16.28,13.67
PROMETHAZINE 25 MG/ML INJECTION SOLUTION [6618],3982255253 [287901],NDC,BOTH,1,ML,16.28,13.67
PROMETHAZINE 6.25 MG/5 ML ORAL SYRUP [6620],5038380116 [101331],NDC,BOTH,473,ML,146.74,123.26
PROMETHAZINE 6.25 MG/5 ML ORAL SYRUP [6620],6043260816 [85835],NDC,BOTH,473,ML,240.98,202.42
PROMETHAZINE 6.25 MG/5 ML ORAL SYRUP [6620],7700535205 [287691],NDC,BOTH,5,ML,1.84,1.54
PROMETHAZINE 6.25 MGCODEINE 10 MG/5 ML SYRUP [6627],2780806502 [300853],NDC,BOTH,473,ML,171.41,143.99
PROMETHAZINE 6.25 MGCODEINE 10 MG/5 ML SYRUP [6627],5038380416 [53997],NDC,BOTH,473,ML,171.41,143.99
PROMETHAZINE 6.25 MGCODEINE 10 MG/5 ML SYRUP [6627],7040818534 [288824],NDC,BOTH,473,ML,736.31,618.5
PROMETHAZINE 6.25 MGCODEINE 10 MG/5 ML SYRUP [6627],7700206405 [287692],NDC,BOTH,5,ML,2.36,1.98
PROMETHAZINEDM 6.25 MG15 MG/5 ML ORAL SYRUP [11145],6043260416 [85831],NDC,BOTH,473,ML,228.64,192.06
PROMETHAZINEDM 6.25 MG15 MG/5 ML ORAL SYRUP [11145],6467960416 [357234],NDC,BOTH,473,ML,228.64,192.06
PROMETHAZINEDM 6.25 MG15 MG/5 ML ORAL SYRUP [11145],7700445505 [287683],NDC,BOTH,5,ML,1.84,1.54
PROPAFENONE 150 MG TABLET [11146],0591058201 [21900],NDC,BOTH,1,EA ,10.76,9.04
PROPAFENONE 150 MG TABLET [11146],0603544821 [97870],NDC,BOTH,1,EA ,10.76,9.04
PROPAFENONE 150 MG TABLET [11146],0603544825 [97871],NDC,BOTH,1,EA ,10.5,8.82
PROPAFENONE 150 MG TABLET [11146],5348955101 [63415],NDC,BOTH,1,EA ,10.76,9.04
PROPAFENONE 150 MG TABLET [11146],6255923001 [274654],NDC,BOTH,1,EA ,10.76,9.04
PROPAFENONE 150 MG TABLET [11146],6808436101 [184887],NDC,BOTH,1,EA ,6.3,5.29
PROPAFENONE 150 MG TABLET [11146],6808436111 [184888],NDC,BOTH,1,EA ,6.3,5.29
PROPAFENONE 225 MG TABLET [11147],0591058301 [21901],NDC,BOTH,1,EA ,15.23,12.79
PROPAFENONE 225 MG TABLET [11147],0603544921 [97872],NDC,BOTH,1,EA ,15.23,12.79
PROPAFENONE 225 MG TABLET [11147],0603544925 [225577],NDC,BOTH,1,EA ,14.7,12.35
PROPAFENONE 225 MG TABLET [11147],5348955201 [63418],NDC,BOTH,1,EA ,15.23,12.79
PROPAFENONE 225 MG TABLET [11147],6255923101 [274655],NDC,BOTH,1,EA ,15.23,12.79
PROPANTHELINE 15 MG TABLET [6643],0054472125 [4319],NDC,BOTH,1,EA ,19.69,16.54
PROPARACAINE 0.5 % EYE DROPS [6644],1747826312 [39264],NDC,BOTH,15,ML,229.43,192.72
PROPARACAINE 0.5 % EYE DROPS [6644],2420873006 [40517],NDC,BOTH,15,ML,220.24,185
PROPARACAINE 0.5 % EYE DROPS [6644],6131401601 [86597],NDC,BOTH,15,ML,229.43,192.72
PROPOFOL 10 MG/ML *BOLUS DOSE* [171593],6332326922 [348912],NDC,BOTH,20,ML,46.99,39.47
PROPOFOL 10 MG/ML *BOLUS DOSE* [171593],6332326929 [237305],NDC,BOTH,20,ML,46.99,39.47
PROPOFOL 10 MG/ML *BOLUS DOSE* [171593],6332326994 [245361],NDC,BOTH,20,ML,18.9,15.88
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0069020901 [332343],NDC,BOTH,20,ML,33.6,28.22
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0069020910 [332344],NDC,BOTH,20,ML,33.6,28.22
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0069023401 [332345],NDC,BOTH,50,ML,83.48,70.12
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0069023420 [332346],NDC,BOTH,50,ML,83.48,70.12
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0069024801 [332347],NDC,BOTH,100,ML,134.4,112.9
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0069024810 [332348],NDC,BOTH,100,ML,134.4,112.9
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0409469924 [129525],NDC,BOTH,100,ML,179.03,150.38
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0409469933 [129527],NDC,BOTH,50,ML,111.3,93.49
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0409469953 [295340],NDC,BOTH,50,ML,111.3,93.49
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0409469954 [296669],NDC,BOTH,100,ML,135.45,113.78
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0591213651 [284703],NDC,BOTH,50,ML,111.3,93.49
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0591213655 [284704],NDC,BOTH,50,ML,111.3,93.49
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0591213657 [284705],NDC,BOTH,100,ML,179.03,150.38
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0591213668 [284706],NDC,BOTH,100,ML,179.03,150.38
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0641619401 [328643],NDC,BOTH,20,ML,46.99,39.47
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0641619410 [328644],NDC,BOTH,20,ML,46.99,39.47
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0641619601 [328117],NDC,BOTH,100,ML,188.21,158.1
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],0641619610 [328116],NDC,BOTH,100,ML,188.21,158.1
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],2315534531 [345561],NDC,BOTH,20,ML,36.23,30.43
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],2315534533 [345563],NDC,BOTH,100,ML,175.35,147.29
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],2315534543 [345565],NDC,BOTH,100,ML,175.35,147.29
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],2315534544 [345566],NDC,BOTH,20,ML,36.23,30.43
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],2502160820 [271293],NDC,BOTH,20,ML,45.68,38.37
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],2502160850 [271294],NDC,BOTH,50,ML,114.19,95.92
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],2502160851 [271295],NDC,BOTH,100,ML,183.75,154.35
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326910 [257004],NDC,BOTH,10,ML,23.63,19.85
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326922 [348912],NDC,BOTH,20,ML,46.99,39.47
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326929 [237305],NDC,BOTH,20,ML,46.99,39.47
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326950 [166262],NDC,BOTH,50,ML,121.8,102.31
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326959 [252156],NDC,BOTH,50,ML,46.99,39.47
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326965 [166264],NDC,BOTH,100,ML,196.09,164.71
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326967 [166265],NDC,BOTH,100,ML,196.09,164.71
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326969 [252157],NDC,BOTH,100,ML,93.71,78.72
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332326994 [245361],NDC,BOTH,20,ML,18.9,15.88
PROPOFOL 10 MG/ML INTRAVENOUS EMULSION [11150],6332327050 [190299],NDC,BOTH,50,ML,91.09,76.51
PROPRANOLOL 1 MG/ML INTRAVENOUS SOLUTION [29335],0143987201 [162264],NDC,BOTH,1,ML,62.48,52.48
PROPRANOLOL 1 MG/ML INTRAVENOUS SOLUTION [29335],6332360400 [359361],NDC,BOTH,1,ML,78.49,65.93
PROPRANOLOL 1 MG/ML INTRAVENOUS SOLUTION [29335],6332360401 [89888],NDC,BOTH,1,ML,78.49,65.93
PROPRANOLOL 10 MG TABLET [6656],0378018201 [17682],NDC,BOTH,1,EA ,2.89,2.43
PROPRANOLOL 10 MG TABLET [6656],0591555401 [22171],NDC,BOTH,1,EA ,2.89,2.43
PROPRANOLOL 10 MG TABLET [6656],0603548221 [196124],NDC,BOTH,1,EA ,2.89,2.43
PROPRANOLOL 10 MG TABLET [6656],0904655061 [287619],NDC,BOTH,1,EA ,2.36,1.98
PROPRANOLOL 10 MG TABLET [6656],6068758701 [338468],NDC,BOTH,1,EA ,2.89,2.43
PROPRANOLOL 10 MG TABLET [6656],6929253001 [323718],NDC,BOTH,1,EA ,2.89,2.43
PROPRANOLOL 20 MG TABLET [6657],0378018301 [17684],NDC,BOTH,1,EA ,3.41,2.87
PROPRANOLOL 20 MG TABLET [6657],0591555501 [22173],NDC,BOTH,1,EA ,3.41,2.87
PROPRANOLOL 20 MG TABLET [6657],0603548321 [196126],NDC,BOTH,1,EA ,3.41,2.87
PROPRANOLOL 20 MG TABLET [6657],0904670561 [310745],NDC,BOTH,1,EA ,8.93,7.5
PROPRANOLOL 20 MG TABLET [6657],5026870111 [301139],NDC,BOTH,1,EA ,4.2,3.53
PROPRANOLOL 20 MG TABLET [6657],5026870115 [301140],NDC,BOTH,1,EA ,4.2,3.53
PROPRANOLOL 20 MG TABLET [6657],6068730601 [297641],NDC,BOTH,1,EA ,7.61,6.39
PROPRANOLOL 20 MG TABLET [6657],6068730611 [297642],NDC,BOTH,1,EA ,7.61,6.39
PROPRANOLOL 20 MG TABLET [6657],6068759801 [342020],NDC,BOTH,1,EA ,3.68,3.09
PROPRANOLOL 20 MG TABLET [6657],6068759811 [342021],NDC,BOTH,1,EA ,3.68,3.09
PROPRANOLOL 20 MG TABLET [6657],6929253201 [323720],NDC,BOTH,1,EA ,3.41,2.87
PROPRANOLOL 20 MG TABLET [6657],7216211761 [360170],NDC,BOTH,1,EA ,3.41,2.87
PROPRANOLOL 20 MG/5 ML (4 MG/ML) ORAL SOLUTION [6654],0054372763 [4230],NDC,BOTH,500,ML,260.66,218.96
PROPRANOLOL 40 MG TABLET [6658],0378018401 [17686],NDC,BOTH,1,EA ,4.73,3.97
PROPRANOLOL 40 MG TABLET [6658],0591555601 [22175],NDC,BOTH,1,EA ,4.73,3.97
PROPRANOLOL 40 MG TABLET [6658],0603548421 [196128],NDC,BOTH,1,EA ,4.73,3.97
PROPRANOLOL 40 MG TABLET [6658],6068729501 [298462],NDC,BOTH,1,EA ,8.66,7.28
PROPRANOLOL 40 MG TABLET [6658],6068729511 [298463],NDC,BOTH,1,EA ,8.66,7.28
PROPRANOLOL 40 MG TABLET [6658],6923820791 [340411],NDC,BOTH,1,EA ,1.58,1.32
PROPYLTHIOURACIL 50 MG TABLET [6662],0228234810 [13151],NDC,BOTH,1,EA ,6.04,5.07
PROPYLTHIOURACIL 50 MG TABLET [6662],6725365110 [252470],NDC,BOTH,1,EA ,6.04,5.07
PROPYLTHIOURACIL 50 MG TABLET [6662],7075217110 [337490],NDC,BOTH,1,EA ,6.04,5.07
PROTAMINE 10 MG/ML INTRAVENOUS SOLUTION [6677],6332322905 [89794],NDC,BOTH,5,ML,95.81,80.48
PROTAMINE 10 MG/ML INTRAVENOUS SOLUTION [6677],6332322930 [89795],NDC,BOTH,25,ML,231.26,194.26
PROTAMINE 10 MG/ML INTRAVENOUS SOLUTION [6677],6332322941 [322183],NDC,BOTH,5,ML,76.39,64.17
PROTAMINE 10 MG/ML INTRAVENOUS SOLUTION [6677],6332322994 [252154],NDC,BOTH,5,ML,76.39,64.17
PROTAMINE 10 MG/ML INTRAVENOUS SOLUTION [6677],6332322995 [252155],NDC,BOTH,25,ML,183.23,153.91
PROTRIPTYLINE 10 MG TABLET [11163],0054021125 [167459],NDC,BOTH,1,EA ,37.28,31.31
PSEUDOEPHEDRINE 30 MG TABLET [6714],0904505359 [26352],NDC,BOTH,1,EA ,6.3,5.29
PSEUDOEPHEDRINE 30 MG TABLET [6714],0904699061 [323243],NDC,BOTH,1,EA ,6.3,5.29
PSEUDOEPHEDRINE 30 MG TABLET [6714],1093982344 [308323],NDC,BOTH,1,EA ,6.3,5.29
PSEUDOEPHEDRINE 30 MG TABLET [6714],4580243262 [171672],NDC,BOTH,1,EA ,7.35,6.17
PSEUDOEPHEDRINE 60 MG TABLET [6715],0904512559 [26392],NDC,BOTH,1,EA ,6.3,5.29
PSEUDOEPHEDRINE 60 MG TABLET [6715],0904672846 [320402],NDC,BOTH,1,EA ,6.3,5.29
PSEUDOEPHEDRINE 60 MG TABLET [6715],0904672852 [320403],NDC,BOTH,1,EA ,6.3,5.29
PSYLLIUM HUSK (ASPARTAME) 3.4 GRAM ORAL POWDER PACKET [11218],3077205712 [365304],NDC,BOTH,1,EA ,2.89,2.43
PSYLLIUM HUSK (ASPARTAME) 3.4 GRAM ORAL POWDER PACKET [11218],3700002404 [42622],NDC,BOTH,1,EA ,2.89,2.43
PSYLLIUM HUSK (ASPARTAME) 3.4 GRAM ORAL POWDER PACKET [11218],3700002410 [299533],NDC,BOTH,1,EA ,2.89,2.43
PSYLLIUM HUSK (ASPARTAME) 3.4 GRAM ORAL POWDER PACKET [11218],3700074108 [42838],NDC,BOTH,1,EA ,2.63,2.21
PYRAZINAMIDE 500 MG TABLET [6738],1013573560 [345436],NDC,BOTH,1,EA ,59.59,50.05
PYRAZINAMIDE 500 MG TABLET [6738],6174801201 [87015],NDC,BOTH,1,EA ,40.16,33.74
PYRAZINAMIDE 500 MG TABLET [6738],6174801206 [87017],NDC,BOTH,1,EA ,41.21,34.62
PYRAZINAMIDE 500 MG TABLET [6738],6174801209 [87018],NDC,BOTH,1,EA ,40.95,34.4
PYRIDOSTIGMINE BROMIDE 5 MG/ML INJECTION SOLUTION [11237],0781304095 [120948],NDC,BOTH,2,ML,200.81,168.68
PYRIDOSTIGMINE BROMIDE 60 MG TABLET [11239],0115351101 [10050],NDC,BOTH,1,EA ,8.4,7.06
PYRIDOSTIGMINE BROMIDE 60 MG TABLET [11239],0187301030 [12619],NDC,BOTH,1,EA ,133.88,112.46
PYRIDOSTIGMINE BROMIDE 60 MG TABLET [11239],6838265906 [293643],NDC,BOTH,1,EA ,8.4,7.06
PYRIDOSTIGMINE BROMIDE 60 MG TABLET [11239],6868230210 [161881],NDC,BOTH,1,EA ,8.14,6.84
PYRIDOSTIGMINE BROMIDE 60 MG/5 ML ORAL SYRUP [11238],0187301220 [12622],NDC,BOTH,473,ML,4914.79,4128.42
PYRIDOSTIGMINE BROMIDE 60 MG/5 ML ORAL SYRUP [11238],7095414810 [316029],NDC,BOTH,473,ML,3937.24,3307.28
PYRIDOSTIGMINE BROMIDE 60 MG/5 ML ORAL SYRUP [11238],7700206905 [323266],NDC,BOTH,5,ML,102.38,86
PYRIDOXINE (VITAMIN B6) 100 MG/ML INJECTION SOLUTION [6744],6332318000 [333031],NDC,BOTH,1,ML,129.15,108.49
PYRIDOXINE (VITAMIN B6) 100 MG/ML INJECTION SOLUTION [6744],6332318001 [89775],NDC,BOTH,1,ML,129.15,108.49
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],1000670012 [314923],NDC,BOTH,1,EA ,1.58,1.32
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],3786490901 [228144],NDC,BOTH,1,EA ,1.58,1.32
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],5026885811 [279801],NDC,BOTH,1,EA ,2.89,2.43
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],5026885815 [279802],NDC,BOTH,1,EA ,2.89,2.43
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],5164590901 [174451],NDC,BOTH,1,EA ,1.58,1.32
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],54629006301 [68799],NDC,BOTH,1,EA ,1.58,1.32
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],7733394010 [294601],NDC,BOTH,1,EA ,2.63,2.21
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],7733394025 [294602],NDC,BOTH,1,EA ,2.63,2.21
PYRIDOXINE (VITAMIN B6) 50 MG TABLET [6748],7985420030 [267712],NDC,BOTH,1,EA ,1.58,1.32
PYRIMETHAMINE 25 MG TABLET [11246],0480372056 [344492],NDC,BOTH,1,EA ,2502.68,2102.25
PYRIMETHAMINE 25 MG TABLET [11246],4359867201 [326203],NDC,BOTH,1,EA ,2332.58,1959.36
